,track_uri,artist_uri,genres
39,2KMc0VMnE5ikCQChB1AdgW,05lF0DUkLJqiW5o70SScyR,liquid funk
40,3gETCNX5gKg1DTBGehMqU7,2RdwBSPQiwcmiDo9kixcl8,pop rap
41,77ibbX4U3nJP1clz3Vc632,7CJgLPEqiIRuneZSolpawQ,polish hip hop
41,77ibbX4U3nJP1clz3Vc632,7CJgLPEqiIRuneZSolpawQ,polish trap
42,3j3NuvuqbjKbZMeQGTLxSC,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
42,3j3NuvuqbjKbZMeQGTLxSC,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
42,3j3NuvuqbjKbZMeQGTLxSC,3BroLrMp9Q01yOnhLn9qxX,polish pop
43,2a0u6wN15zIfSzgfhbsjd1,7CJgLPEqiIRuneZSolpawQ,polish hip hop
43,2a0u6wN15zIfSzgfhbsjd1,7CJgLPEqiIRuneZSolpawQ,polish trap
44,17Z45x6wGGH3flPFyH402q,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
44,17Z45x6wGGH3flPFyH402q,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
44,17Z45x6wGGH3flPFyH402q,3BroLrMp9Q01yOnhLn9qxX,polish pop
45,7gipLfp7u2a0KOwAKTyrtq,7CJgLPEqiIRuneZSolpawQ,polish hip hop
45,7gipLfp7u2a0KOwAKTyrtq,7CJgLPEqiIRuneZSolpawQ,polish trap
46,709azRlOn5ep94PZXE2ibw,2QoSPr8Jx3mLTCqgfpAwKb,danish pop
46,709azRlOn5ep94PZXE2ibw,2QoSPr8Jx3mLTCqgfpAwKb,danish singer-songwriter
47,6L1VjQdgKdu6IU6RmxtfTh,0rasA5Z5h1ITtHelCpfu9R,electronica
47,6L1VjQdgKdu6IU6RmxtfTh,0rasA5Z5h1ITtHelCpfu9R,german techno
47,6L1VjQdgKdu6IU6RmxtfTh,0rasA5Z5h1ITtHelCpfu9R,leipzig electronic
47,6L1VjQdgKdu6IU6RmxtfTh,0rasA5Z5h1ITtHelCpfu9R,minimal techno
47,6L1VjQdgKdu6IU6RmxtfTh,0rasA5Z5h1ITtHelCpfu9R,tech house
48,6lWuJS86p0q5JAKekgETcN,0rasA5Z5h1ITtHelCpfu9R,electronica
48,6lWuJS86p0q5JAKekgETcN,0rasA5Z5h1ITtHelCpfu9R,german techno
48,6lWuJS86p0q5JAKekgETcN,0rasA5Z5h1ITtHelCpfu9R,leipzig electronic
48,6lWuJS86p0q5JAKekgETcN,0rasA5Z5h1ITtHelCpfu9R,minimal techno
48,6lWuJS86p0q5JAKekgETcN,0rasA5Z5h1ITtHelCpfu9R,tech house
49,0qLsHw6J2xCrThfJUKSNAV,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
49,0qLsHw6J2xCrThfJUKSNAV,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
49,0qLsHw6J2xCrThfJUKSNAV,3BroLrMp9Q01yOnhLn9qxX,polish pop
50,2CgK3HST25ZO0EP2yGvzCW,7CajNmpbOovFoOoasH2HaY,dance pop
50,2CgK3HST25ZO0EP2yGvzCW,7CajNmpbOovFoOoasH2HaY,edm
50,2CgK3HST25ZO0EP2yGvzCW,7CajNmpbOovFoOoasH2HaY,electro house
50,2CgK3HST25ZO0EP2yGvzCW,7CajNmpbOovFoOoasH2HaY,house
50,2CgK3HST25ZO0EP2yGvzCW,7CajNmpbOovFoOoasH2HaY,pop
50,2CgK3HST25ZO0EP2yGvzCW,7CajNmpbOovFoOoasH2HaY,pop rap
50,2CgK3HST25ZO0EP2yGvzCW,7CajNmpbOovFoOoasH2HaY,progressive house
50,2CgK3HST25ZO0EP2yGvzCW,7CajNmpbOovFoOoasH2HaY,uk dance
51,4XNONDxjF0ZVo9GpTDogTs,0MaSZtK5rLCLPbMNdWQIL9,polish alternative rap
51,4XNONDxjF0ZVo9GpTDogTs,0MaSZtK5rLCLPbMNdWQIL9,polish hip hop
52,5ls2FNQUmqTqMha40mObK1,6PE9YfygcKpsaMOqiBx6JG,polish alternative
52,5ls2FNQUmqTqMha40mObK1,6PE9YfygcKpsaMOqiBx6JG,polish alternative rock
52,5ls2FNQUmqTqMha40mObK1,6PE9YfygcKpsaMOqiBx6JG,polish pop
53,58irqlvWofzSBKsvE3HSvF,3BroLrMp9Q01yOnhLn9qxX,polish alternative rap
53,58irqlvWofzSBKsvE3HSvF,3BroLrMp9Q01yOnhLn9qxX,polish hip hop
53,58irqlvWofzSBKsvE3HSvF,3BroLrMp9Q01yOnhLn9qxX,polish pop
54,7c9Evh1HBBrPwFEdlSsMtQ,6MKNzi38fPQCFRdWOtHqTJ,europop
54,7c9Evh1HBBrPwFEdlSsMtQ,6MKNzi38fPQCFRdWOtHqTJ,swedish pop
55,1AU7nfy6iBbNt7rrgSglOZ,7CJgLPEqiIRuneZSolpawQ,polish hip hop
