,endTime,artistName,trackName,msPlayed,UniqueID,In Library,album,track_uri
7358,2021-09-05 16:42,Major Lazer,Mashup the Dance,9714,Major Lazer:Mashup the Dance,0,,
7359,2021-09-05 16:42,Years & Years,Desire - Zac Samuel Remix,4445,Years & Years:Desire - Zac Samuel Remix,0,,
7360,2021-09-05 16:43,Major Lazer,Mashup the Dance,2983,Major Lazer:Mashup the Dance,0,,
7361,2021-09-05 16:43,Years & Years,Desire - Zac Samuel Remix,11803,Years & Years:Desire - Zac Samuel Remix,0,,
7362,2021-09-05 16:43,Fella,Trust in Me,20206,Fella:Trust in Me,0,,
7363,2021-09-05 16:43,EC Twins,Revolution,3515,EC Twins:Revolution,0,,
7364,2021-09-05 16:43,Martin Garrix,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,2624,Martin Garrix:We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,0,,
7365,2021-09-05 16:47,Major Lazer,Original Don - The Partysquad & Punish Smash Em Remix,218280,Major Lazer:Original Don - The Partysquad & Punish Smash Em Remix,0,,
7366,2021-09-05 16:49,Major Lazer,Pra te Machucar,149545,Major Lazer:Pra te Machucar,0,,
7367,2021-09-05 17:15,French Montana,Unforgettable (feat. Swae Lee) - Major Lazer Remix,81240,French Montana:Unforgettable (feat. Swae Lee) - Major Lazer Remix,0,,
7368,2021-09-05 18:33,Black Eyed Peas,RITMO (Bad Boys For Life),1413,Black Eyed Peas:RITMO (Bad Boys For Life),0,,
7369,2021-09-05 18:33,BLR,Taj,1336,BLR:Taj,0,,
7370,2021-09-05 18:33,Paul Woolford,Looking for Me,1886,Paul Woolford:Looking for Me,0,,
7371,2021-09-05 18:33,Jude & Frank,La Luna,6057,Jude & Frank:La Luna,0,,
7372,2021-09-05 18:33,French Montana,Unforgettable (feat. Swae Lee) - Major Lazer Remix,101180,French Montana:Unforgettable (feat. Swae Lee) - Major Lazer Remix,0,,
7373,2021-09-05 18:33,DJ Snake,Let's Get Ill,15678,DJ Snake:Let's Get Ill,0,,
7374,2021-09-05 18:33,Daniel Portman,Rijeka,1591,Daniel Portman:Rijeka,0,,
7375,2021-09-05 18:35,Major Lazer,Cold Water (feat. Justin Bieber & MØ),116960,Major Lazer:Cold Water (feat. Justin Bieber & MØ),0,,
7376,2021-09-05 18:36,Major Lazer,Cold Water (feat. Justin Bieber & MØ) [Afrojack Remix],17445,Major Lazer:Cold Water (feat. Justin Bieber & MØ) [Afrojack Remix],0,,
7377,2021-09-05 18:40,Kungs,Never Going Home - Extended Mix,279344,Kungs:Never Going Home - Extended Mix,0,,
7378,2021-09-05 19:26,Axwell,Nobody Else - 1991 Remix,818,Axwell:Nobody Else - 1991 Remix,0,,
7379,2021-09-06 06:17,Major Lazer,Mashup the Dance,228969,Major Lazer:Mashup the Dance,0,,
7380,2021-09-06 06:20,Years & Years,Desire - Zac Samuel Remix,180738,Years & Years:Desire - Zac Samuel Remix,0,,
7381,2021-09-06 06:23,EC Twins,Revolution,194698,EC Twins:Revolution,0,,
7382,2021-09-06 06:27,Martin Garrix,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,216454,Martin Garrix:We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,0,,
7383,2021-09-06 06:29,Fella,Trust in Me,162767,Fella:Trust in Me,0,,
7384,2021-09-06 06:32,Feder,Call Me Papi (feat. Dawty Music),140283,Feder:Call Me Papi (feat. Dawty Music),0,,
7385,2021-09-06 06:35,Axwell /\ Ingrosso,Dream Bigger,196268,Axwell /\ Ingrosso:Dream Bigger,0,,
7386,2021-09-06 06:39,informal.,Close,258626,informal.:Close,0,,
7387,2021-09-06 06:42,Trinidad Cardona,Dinero,160443,Trinidad Cardona:Dinero,0,,
7388,2021-09-06 06:45,Ehrling,Questions,198207,Ehrling:Questions,0,,
7389,2021-09-06 06:48,Kungs,Never Going Home,169511,Kungs:Never Going Home,0,,
7390,2021-09-06 06:52,Diplo,Don't Be Afraid (feat. Jungle),202704,Diplo:Don't Be Afraid (feat. Jungle),0,,
7391,2021-09-06 06:55,Don Diablo,"Survive (feat. Emeli Sandé, Gucci Mane)",188895,"Don Diablo:Survive (feat. Emeli Sandé, Gucci Mane)",0,,
7392,2021-09-06 06:58,Major Lazer,Mary Jane,207024,Major Lazer:Mary Jane,0,,
7393,2021-09-06 07:01,Bakermat,Baianá,181659,Bakermat:Baianá,0,,
7394,2021-09-06 07:04,Cheat Codes,All Things $ Can Do (with Travis Barker & Tove Styrke),179252,Cheat Codes:All Things $ Can Do (with Travis Barker & Tove Styrke),0,,
